customer_id,customer_name,category
CL1,Marisa Obrien,business
CL2,Jessica Rios,business
CL3,Christopher Robbins,business
CL4,Christina Dillon,business
CL5,Alexander Carroll,business
CL6,Rebecca Fleming,business
CL7,Jacqueline Wright,business
CL8,Denise Lee,business
CL9,Nicolas Wilson,business
CL10,William Dawson,business
CL11,Joseph Moreno,individual
CL12,Brandon Arnold,business
CL13,Tamara Hahn,business
CL14,Sandra Barnes,individual
CL15,Amy Hill,business
CL16,Elizabeth Foley,individual
CL17,Julia Salazar,business
CL18,Joshua Castillo,individual
CL19,Wendy Davis,individual
CL20,Jeffrey Robertson,business
CL21,Suzanne Holmes,individual
CL22,Tanner Conley,individual
CL23,Stephanie Nelson DVM,business
CL24,Antonio Scott,business
CL25,John Cuevas,individual
CL26,Gregory Bautista,business
CL27,Ryan Sharp,business
CL28,Michael Mcdowell,individual
CL29,Christine Wang,business
CL30,Austin George,individual
CL31,Wendy Roberts,business
CL32,Robert Wilson,individual
CL33,Christina Gray,individual
CL34,Timothy Lyons,business
CL35,Stacy Jones,individual
CL36,Joann King,business
CL37,Ruben Henry,business
CL38,Morgan Wagner,individual
CL39,Kevin Ingram,individual
CL40,Michael Oneal,business
CL41,Casey Tran,business
CL42,Katie Mitchell,individual
CL43,Justin Giles,individual
CL44,Michael Allison,individual
CL45,Donald Gibbs,business
CL46,Timothy Sutton,business
CL47,Cassandra Richards,individual
CL48,Kristen Perry,individual
CL49,Noah Mcknight,business
CL50,Katie Johnson,individual
CL51,Kayla Dunn,business
CL52,Tracy White,business
CL53,Christian Graves,business
CL54,Casey Reed,business
CL55,Carrie Ayers,business
CL56,Sarah Cole,individual
CL57,Alison Ford,business
CL58,Lori Young,business
CL59,Kimberly Mack,business
CL60,Samuel Schroeder,business
CL61,Amanda Burton,business
CL62,Sarah Williams,business
CL63,Frank Sherman,business
CL64,Victoria Parker,business
CL65,David Smith,individual
CL66,Jeffrey Hernandez,business
CL67,John Robertson,business
CL68,Ryan Gonzalez,business
CL69,Brianna Scott MD,business
CL70,Michael Day,business
